producto,ciudad,2020,2022,2023,2024,2025
Banano*,"BOGOTÁ, D.C.",,14.4084543296062,8.684338021236272,22.897201091677964,7.1785094158833385
Banano*,BUCARAMANGA,,21.811848700285495,8.878102967863821,54.058333211772315,4.531554716737962
Banano*,CALI,,26.135888404204223,13.899649553984839,30.233548874170914,20.720002273631533
Banano*,CÚCUTA,,15.663996071457476,-100.0,,
Banano*,IBAGUÉ,,6.364773986784078,3.3110218631019483,40.83667928568697,24.046010475099244
Banano*,MANIZALES,,4.166431115382441,15.748416743898662,24.635678471592758,9.052572123324087
Banano*,MEDELLÍN,,14.158066438419414,11.441097348534113,28.588694537553682,-1.220471100682441
Banano*,MONTERÍA,,42.5843324673751,39.54596487698305,3.2268834917751565,-8.461585954263917
Banano*,NEIVA,,9.580648250535395,9.604566097044076,62.851015503298036,12.883202367111668
Banano*,PEREIRA,,11.824105612431591,12.761502489198895,31.58695291219118,8.592731608903303
Banano*,POPAYÁN,,9.497292103424183,10.356487014311933,25.778564991765318,9.763617677286751
Banano*,SAN JOSÉ DE CÚCUTA,,inf,2.2149206881679318,37.497044457763984,15.209463482563557
Banano*,SANTA MARTA,,72.55815679544509,24.957805657285938,-15.995807536443818,-2.2661871035799974
Banano*,SINCELEJO,,inf,13.340800893410009,10.129071006051271,-7.432345935096773
Banano*,TUNJA,,7.829651729826881,9.654013792972616,12.41605753220012,12.875276362177424
Banano*,VALLEDUPAR,,,inf,0.3153194066000564,-18.634790425481572
Banano*,VILLAVICENCIO,,48.18372674662723,7.5829119139678935,7.6632923918323215,-4.730223123732258
Cebolla cabezona blanca,ARMENIA,,64.77323165072832,-1.9498177730728816,-21.906870853482875,-7.355979207902363
Cebolla cabezona blanca,BARRANQUILLA,,80.38345758281562,-12.675943468052587,-12.79551158948584,-9.01780244038889
Cebolla cabezona blanca,"BOGOTÁ, D.C.",,93.51054647274255,-19.595987194153107,-20.845171241020054,-13.793725354693953
Cebolla cabezona blanca,BUCARAMANGA,,86.92383978208127,-12.022058517962385,-21.84391483697572,-11.9049884138673
Cebolla cabezona blanca,CALI,,98.79582394048798,-12.429850767147265,-16.015732691609173,-19.533212983790882
Cebolla cabezona blanca,CARTAGENA DE INDIAS,,64.35816801974323,-13.06603046125554,-14.868213561612965,-9.896798094734061
Cebolla cabezona blanca,CÚCUTA,,79.35023640955643,-100.0,,
Cebolla cabezona blanca,IBAGUÉ,,87.02602230483272,-22.68525921056701,-22.098060409024768,-10.537648578670222
Cebolla cabezona blanca,MANIZALES,,62.57541799301541,-15.223769477923843,-17.985927652594324,-9.495269035038534
Cebolla cabezona blanca,MEDELLÍN,,72.5574074029081,-18.68741796893406,-20.816605211684404,-10.082090898292629
Cebolla cabezona blanca,MONTERÍA,,68.38300570703868,-15.759432868575619,-16.185507937678935,-8.217707762659188
Cebolla cabezona blanca,PASTO,,87.23658727145678,-21.68903433776965,-23.699921225413934,-11.484689606805132
Cebolla cabezona blanca,PEREIRA,,88.80959168422385,-14.618488700144505,-19.995305604031856,-9.518608070567991
Cebolla cabezona blanca,POPAYÁN,,74.05931105727382,-12.717221458697859,-25.18225956908178,-8.717039114786896
Cebolla cabezona blanca,SAN JOSÉ DE CÚCUTA,,inf,-52.16198957492835,-21.53097877735196,-13.257886099178917
Cebolla cabezona blanca,SANTA MARTA,,63.963482180373575,-10.079237174321786,-18.572514782655915,-11.43788533767982
Cebolla cabezona blanca,SINCELEJO,,74.60631095843175,-12.78798072903433,-21.03227647476964,-10.977502502139513
Cebolla cabezona blanca,TUNJA,,74.75082433104798,-20.028357005125464,-23.966546253360853,-11.346638482247517
Cebolla cabezona blanca,VALLEDUPAR,,72.0736825815165,-14.440277897612086,-16.857119892240057,-16.292471592019165
Cebolla cabezona blanca,VILLAVICENCIO,,69.42632730548115,-17.796289641865958,-15.79871713382438,-9.31012245436358
Cebolla junca,ARMENIA,,-2.3617705621075125,14.189564190690994,13.357475540959696,-17.3541124428889
Cebolla junca,BARRANQUILLA,,,inf,-100.0,
Cebolla junca,"BOGOTÁ, D.C.",,45.62051809404011,34.6110014564661,-31.663053479161153,6.334104719176525
Cebolla junca,BUCARAMANGA,,51.01306139586315,35.84422999332419,-31.291545528879528,14.362772122405577
Cebolla junca,CALI,,29.341611125020183,34.31600580207561,-36.02598051924003,17.54818489495531
Cebolla junca,CÚCUTA,,51.73625749516706,-100.0,,
Cebolla junca,MANIZALES,,45.43077475617658,32.203430871892344,-11.378001681511085,1.5318578815454176
Cebolla junca,MEDELLÍN,,41.459204930689644,1.9006550217347984,6.234659223138084,3.9253618843375415
Cebolla junca,MONTERÍA,,16.41409926982911,-26.226806539009985,16.6834758901889,20.774814470823856
Cebolla junca,NEIVA,,45.70074952807887,37.77154552108346,-34.07045396358003,10.707675523311844
Cebolla junca,PASTO,,58.19011815252417,18.071601412590166,-22.536377335202662,34.54657729686763
Cebolla junca,PEREIRA,,36.38035885448081,19.75434136398566,-2.5461145800527274,-17.449077425792947
Cebolla junca,POPAYÁN,,42.87021061399332,29.038442518810427,-21.86925977459666,27.237940868708854
Cebolla junca,SAN JOSÉ DE CÚCUTA,,inf,11.577262160621071,-36.31930378251561,10.42727552338829
Cebolla junca,SINCELEJO,,81.97249361793129,-21.959524169564993,16.903357566116117,-2.749268083247902
Cebolla junca,TUNJA,,58.5858515186074,40.737722157686804,-36.898413164534404,4.341787722275758
Cebolla junca,VILLAVICENCIO,,46.30425186790787,42.138156611607954,-22.86374945194144,11.25926082280948
Chócolo mazorca,ARMENIA,,16.873259354391834,-6.488629487577525,7.511490950728428,-7.109426931455931
Chócolo mazorca,BARRANQUILLA,,68.87421483121695,-100.0,,
Chócolo mazorca,"BOGOTÁ, D.C.",,41.416969988127626,-5.5777473826215225,7.325055808279113,9.184672969220408
Chócolo mazorca,BUCARAMANGA,,58.443800718239714,6.72355274899239,-1.862685151644683,6.409106867961234
Chócolo mazorca,CALI,,40.773177781218564,7.996005296094699,5.712093215502678,24.013438857168047
Chócolo mazorca,CARTAGENA DE INDIAS,,111.92992424718602,-6.5567683574913715,2.9040394808992787,4.069713741678327
Chócolo mazorca,CÚCUTA,,53.072452421103364,-100.0,,
Chócolo mazorca,IBAGUÉ,,84.0284123732997,11.163178494753833,15.105525832236832,-11.662552385326375
Chócolo mazorca,MANIZALES,,66.7517801653668,0.019607236102081593,5.462755102040795,4.7657503301212545
