,artiId,artiNombre
2885,290,Pierna pernil sin rabadilla
3016,560,Arroz blanco importado
3039,335,Trucha entera fresca
3087,26,Cebolla cabezona roja ocañera
3107,204,Arroz sopa cristal
3185,333,"Toyo blanco, filete congelado"
3232,198,Ñame diamante
3319,208,Cuchuco de cebada
3332,205,Arveja amarilla seca importada
3419,199,Ñame espino
3470,197,Ñame criollo
3539,304,Blanquillo entero fresco
3590,39,Fríjol verde bolo
3760,121,Mango manzano
3771,475,Mango Yulima
4093,156,Zapote
4197,123,Mango reina
5560,286,Muslos de pollo con rabadilla
5564,372,Sopa de pollo (caja)
5648,91,Badea
13612,178,Papa tocarreña
74489,34,Cebolla Puerro
83658,6221,Aguacate Choquette
95463,313,Capaz Magdalena fresco
